InterestRate,Installment,LogAnnualInc,DebtIncRatio,CreditLineAge,RevBalance,RevUtilization,FICOScore,Purpose,Delinquencies2Yrs,Inquiries6Mnths,Age,Race,Gender,CreditPolicy,PublicRecord,Default,BIN_CreditLineAge,BIN_DebtIncRatio,BIN_FICOScore,BIN_Inquiries6Mnths,BIN_LogAnnualInc,BIN_RevBalance,BIN_RevUtilization
0.1711123708,749.62141718,9.762035093,0,0,9631.9613847,1.2156282607,727.38719342,all_other,1,12,80,Asian,Female,0,0,1,1,1,4,5,1,3,1
0.2214233458,69.479698094,11.111905063,14.528944247,2610.1097246,57775.027962,100,684.04840792,major_purchase,0,7,4,Indigenous,Female,0,0,1,2,4,2,5,4,5,5
0.0991521059,937.25536816,11.575507595,23.217686444,1270.0850967,331.00203977,39.050991302,659.06706555,major_purchase,0,1,46,Asian,Female,0,1,1,1,5,1,4,5,1,2
0.1491537026,575.22011277,10.997904372,22.368598172,3125.4739974,14088.900959,100,659.77251651,debt_consolidation,1,13,14,Hispanic,Female,1,1,1,2,5,1,5,3,4,5
0.2007135708,526.51627785,10.831754734,27.818124235,91.10203569,0,20.837585231,618.84591387,debt_consolidation,2,0,15,Black,Female,1,1,1,1,5,1,2,3,1,1
0.1223455556,145.62405114,11.52719094,16.724397756,0,35298.44822,63.756306038,640.22838062,educational,3,0,32,Hispanic,Male,1,1,1,1,4,1,2,5,5,4
0.1037218724,50,10.056086828,27.067762583,3942.5914104,10445.041764,100,689.73112483,debt_consolidation,4,0,96,Black,Male,1,1,1,3,5,2,2,1,3,5
0.0573911317,605.56591383,10.335466634,20.356776954,3126.210391,0,77.756785746,647.07136051,home_improvement,4,15,5,Hispanic,Female,0,0,1,2,5,1,5,1,1,5
0.1199669782,433.76782221,12.335808748,0,5565.6586654,9091.7638104,53.626323527,668.52463964,small_business,1,4,53,Asian,Female,0,1,1,4,1,1,5,5,3,3
0.0766977421,335.28239824,11.094309027,24.894483689,8295.5028931,22228.809817,79.322470494,663.70526756,debt_consolidation,0,6,35,Black,Female,0,2,1,5,5,1,5,4,5,5
0.0400800667,174.1246618,9.6560817559,21.730033004,8104.9571333,286.80187903,36.216471738,666.74500546,debt_consolidation,2,1,29,Black,Male,1,1,1,5,5,1,4,1,1,2
0.1509820338,236.64655914,11.324459727,0,398.00588954,7342.9873597,53.127240927,729.93608783,educational,4,12,9,White,Male,0,1,1,1,1,4,5,4,3,3
0.1435706298,351.9487277,11.661458823,23.446744501,10080.573707,85021.715892,73.49157924,695.16707395,all_other,0,0,93,White,Female,1,0,1,5,5,2,2,5,5,5
0.1886729697,129.6691453,11.550418119,0,1785.0458616,19012.414942,15.659385562,707.93783878,debt_consolidation,3,0,90,White,Female,1,2,1,1,1,3,2,5,4,1
0.1388433682,152.11744787,11.295426811,18.938500065,2686.708423,21673.936538,76.245489293,686.22753694,debt_consolidation,0,14,59,Indigenous,Female,0,1,1,2,5,2,5,4,4,5
0.1965034531,540.90652117,11.348913303,9.3671892151,2070.4187488,710.85703963,100,615.67103339,debt_consolidation,1,13,87,Black,Male,0,0,1,1,2,1,5,5,1,5
0.0997507759,364.2162234,9.7885773647,22.84550807,1486.5185838,15391.277536,71.822724598,665.97568965,credit_card,0,3,85,Indigenous,Female,0,1,1,1,5,1,5,1,4,5
0.0957175355,179.03486601,9.5419182723,23.355888356,0,6026.7776283,100,731.19260494,credit_card,4,9,86,Black,Male,1,2,1,1,5,4,5,1,2,5
0.1448899335,50,11.625857361,23.264807102,8087.8539324,15718.800079,66.669893909,644.557195,small_business,1,9,56,Asian,Female,1,0,1,5,5,1,5,5,4,4
0.1336674228,317.44245031,9.3345091355,25.498882762,4304.2300213,1157.3367312,58.912539674,828.26530032,small_business,1,13,75,Indigenous,Female,0,1,1,3,5,5,5,1,1,4
0.1669869345,92.568362935,10.462016378,20.205429687,7662.9469956,72332.98614,26.700599591,655.84327414,home_improvement,1,3,87,Indigenous,Male,0,1,1,5,5,1,5,1,5,2
0.1394154201,738.77308296,10.283977197,13.448444913,2712.5713312,23386.77517,100,656.68469427,major_purchase,3,3,94,White,Male,1,2,1,2,3,1,5,1,5,5
0.1316375663,50,9.5851411662,24.435856698,6063.0206082,0,62.256663021,745.92837979,all_other,3,11,79,White,Male,1,0,1,4,5,5,5,1,1,4
0.192848223,50,10.74098969,21.271659756,445.66260421,0,10.11908903,668.29673651,home_improvement,1,8,39,Hispanic,Male,1,1,1,1,5,1,5,2,1,1
0.1558342012,50,11.028431781,0,3611.3621338,109057.81369,59.336323518,697.79609562,credit_card,4,13,65,White,Male,0,1,1,2,1,2,5,3,5,4
0.22195843,297.92584514,12.606123953,24.872790061,4396.6035628,42313.156588,0,665.92622634,home_improvement,4,0,69,Indigenous,Male,0,1,1,3,5,1,2,5,5,1
0.0712794121,50,11.984687478,21.933291329,3705.3654088,0,40.544147024,695.78936019,debt_consolidation,0,14,39,Black,Female,1,2,1,3,5,2,5,5,1,3
0.163703782,482.92553167,9.3353104487,31.420598575,5358.0392608,140728.58672,75.888604269,660.42757057,credit_card,3,11,17,Indigenous,Female,1,1,1,4,5,1,5,1,5,5
0.2202120333,617.40506274,11.707188528,28.271111078,2444.2577285,18118.637589,31.688866224,708.89050085,home_improvement,2,8,9,Indigenous,Female,0,0,1,1,5,3,5,5,4,2
0.1401271627,169.93913459,9.7145748316,26.462699459,8871.1946802,0,52.970475527,713.14028619,credit_card,0,4,88,Black,Male,0,0,1,5,5,3,5,1,1,3
0.2164181737,128.15887197,12.562442154,19.00916021,3266.7984034,34319.293653,100,666.55317048,all_other,1,1,23,Hispanic,Female,1,1,1,2,5,1,4,5,5,5
0.0783930932,301.15912915,10.483278139,27.905259564,3738.1004529,10358.225497,0,667.48104834,all_other,1,13,0,White,Male,1,2,1,3,5,1,5,1,3,1
0.1217086118,281.82734773,10.460624417,26.279763612,15452.654479,0,52.427524365,698.99748375,home_improvement,2,3,36,White,Female,0,0,1,5,5,2,5,1,1,3
0.1801724741,311.84636764,9.2793063818,6.0863128973,694.13081492,3842.4548224,90.487826072,667.65315493,home_improvement,4,10,43,White,Male,0,1,1,1,1,1,5,1,2,5
0.1500080604,304.94528651,11.386371406,14.480962905,0,5796.7903015,0,771.55303297,credit_card,4,14,14,Black,Male,1,1,1,1,4,5,5,5,2,1
0.1844168194,545.27536812,11.911823064,25.569944756,4990.7617068,68576.968809,0,698.65248538,credit_card,0,10,27,Asian,Female,0,0,1,4,5,2,5,5,5,1
0.1656632982,380.02575732,11.422569806,0,16801.840168,15702.01811,71.492630806,747.32095835,all_other,0,0,34,Asian,Female,1,0,1,5,1,5,2,5,4,5
0.1073900612,159.22206737,11.964530247,15.505115586,3134.9852349,12602.435933,61.459512202,700.70341749,all_other,0,12,23,White,Male,1,2,1,2,4,3,5,5,4,4
0.1878905827,39.534356679,11.055026368,4.7168582901,6995.9651772,29161.496052,9.5030483688,707.70612682,home_improvement,2,4,13,Black,Male,0,0,1,5,1,3,5,4,5,1
0.2175203801,333.55616835,12.604792458,0,2630.0656632,5453.1679256,80.723703367,627.44634109,home_improvement,3,4,61,White,Male,1,1,1,2,1,1,5,5,2,5
0.0832190074,262.14530504,10.090370205,30.020507237,0,0,0,720.41559596,educational,3,1,62,Hispanic,Female,0,0,1,1,5,4,4,1,1,1
0.0912685527,309.94920119,11.75718961,11.704343939,1575.0200258,10877.861804,33.285217947,733.62643366,educational,0,7,78,Hispanic,Male,1,2,1,1,3,4,5,5,3,2
0.2022383879,201.42984111,10.485985097,0,0,780.46580566,0,788.99302314,major_purchase,4,3,90,Black,Male,1,0,1,1,1,5,5,1,1,1
0.1073661887,131.05096558,11.742390849,0.9547325035,3981.2672202,3286.4365798,34.173349671,742.91232396,credit_card,3,4,46,Asian,Female,0,0,1,3,1,5,5,5,2,2
0.1473822129,757.19950346,9.3913241254,30.621807993,0,85026.729096,100,708.50394503,debt_consolidation,2,10,74,Asian,Male,0,0,1,1,5,3,5,1,5,5
0.1045713717,396.60420504,10.77074997,23.508365135,2500.2678665,5397.6522386,3.6564991312,682.66907008,major_purchase,3,14,70,Hispanic,Female,0,0,1,1,5,2,5,2,2,1
0.1334647558,975.5979575,11.555728577,17.087375876,0,0,0,702.09494195,home_improvement,1,0,29,Hispanic,Male,1,1,1,1,4,3,2,5,1,1
0.2155278774,228.92246468,9.9840302874,27.034131074,4331.1858771,27818.962805,100,670.7078381,debt_consolidation,3,6,18,Asian,Female,0,1,1,3,5,1,5,1,5,5
0.1019215116,387.01711804,11.006852887,26.298757351,4320.3003594,1504.779201,39.157484875,718.07199377,major_purchase,1,0,58,Hispanic,Female,1,0,1,3,5,4,2,3,1,2
0.0649378122,527.26531225,10.257179914,27.902619611,4805.2296636,11302.668597,37.645624172,683.40885417,debt_consolidation,0,0,98,Hispanic,Male,0,1,1,4,5,2,2,1,3,2
0.1371576057,234.15320232,8.982004341,14.052802789,8411.6853814,3559.5721128,98.315537608,665.53636067,small_business,4,8,39,Black,Female,0,1,1,5,3,1,5,1,2,5
0.0631630378,281.60900723,11.046077397,0,1836.9198786,87181.572079,48.694696377,704.42889742,all_other,4,13,7,White,Female,1,2,1,1,1,3,5,3,5,3
0.0851505023,134.43884417,10.781504112,0,3452.1305008,3861.9328586,23.929433437,679.80339984,small_business,3,11,91,Black,Male,1,2,1,2,1,1,5,2,2,2
0.0899085594,342.59890469,10.555784126,25.444766956,84.117404243,14511.146934,89.118995241,653.11799607,small_business,1,11,60,Asian,Female,0,1,1,1,5,1,5,2,4,5
0.0806310303,334.95236363,11.382023589,23.611451565,4640.1879417,5488.7001813,100,748.11811118,all_other,0,3,80,Hispanic,Male,1,0,1,3,5,5,5,5,2,5
0.1925000131,278.27247338,10.301016085,21.686466009,5588.6680532,3535.4476456,90.563494309,706.76348644,all_other,0,0,100,White,Male,1,0,1,4,5,3,2,1,2,5
0.1783279648,69.893971491,9.5037913278,26.229256872,4773.8041635,6764.9981432,31.742523551,641.29281388,debt_consolidation,0,8,71,Black,Male,1,2,1,4,5,1,5,1,3,2
0.2018812153,258.4222518,11.138671984,21.577630355,6017.4146679,959.80534969,57.836077391,676.846924,home_improvement,1,7,35,Asian,Male,1,1,1,4,5,1,5,4,1,4
0.1636205521,227.96329964,9.5627196618,1.2509729995,3031.628949,25700.246095,88.616164641,668.29860304,home_improvement,0,4,63,White,Female,0,0,1,2,1,1,5,1,5,5
0.0482497528,702.77614246,10.250666961,15.40531594,5607.1239935,10810.552998,54.988734997,798.11946678,home_improvement,0,9,84,Asian,Female,1,2,1,4,4,5,5,1,3,3
0.1954254169,827.29680151,11.260960766,19.967727536,8154.3050238,50099.315762,13.391168579,679.50660273,debt_consolidation,0,12,100,Black,Male,1,2,1,5,5,1,5,4,5,1
0.1024923481,245.71417913,10.878566148,29.178202293,0,0,20.847083835,638.24949751,small_business,3,13,75,Black,Male,0,1,1,1,5,1,5,3,1,1
0.1976477997,66.307004848,10.807757031,13.763495801,3656.188167,37972.569276,0,668.48270081,small_business,4,6,68,Asian,Female,0,0,1,3,3,1,5,3,5,1
0.1818987618,50,10.621579153,23.856564597,4136.1507029,9544.2251729,80.638566126,672.44145073,all_other,0,4,94,Black,Male,0,1,1,3,5,1,5,2,3,5
0.1229087208,367.31544385,11.697365199,6.7650275708,4762.9560344,2234.5482794,87.937504256,664.35941336,all_other,1,0,42,White,Male,1,0,1,4,1,1,2,5,1,5
0.1830552475,268.43196378,11.596843493,30.108725272,415.64047027,150309.15657,100,644.56542471,major_purchase,0,14,100,Asian,Male,1,1,1,1,5,1,5,5,5,5
0.1962968328,370.63763519,11.283693688,13.986536899,1217.794957,12544.870517,85.93569769,658.66625955,all_other,0,3,12,Indigenous,Male,0,0,1,1,3,1,5,4,4,5
0.1356135153,834.33782094,9.6572495739,29.075223851,1324.6146244,0,39.056324992,665.42470704,educational,2,2,45,Hispanic,Male,0,1,1,1,5,1,4,1,1,2
0.1980306383,349.29658488,11.710228013,4.7583570383,9470.8588107,11232.221874,81.841995501,693.01049063,major_purchase,4,0,89,Asian,Male,1,2,1,5,1,2,2,5,3,5
0.2003619935,846.38861404,10.414536824,0.5233317199,5228.792226,0,92.359839275,666.04002652,educational,2,12,53,White,Male,0,0,1,4,1,1,5,1,1,5
0.0436605458,147.11901684,10.369489209,8.3314941386,14871.376531,0,58.372529718,647.91905762,major_purchase,4,14,88,Asian,Male,0,0,1,5,2,1,5,1,1,4
0.1593247442,301.53135911,10.629923985,14.655762489,953.71714486,35264.522286,36.052076486,717.97428344,debt_consolidation,0,15,16,Asian,Male,0,1,1,1,4,4,5,2,5,2
0.1121465636,384.47992114,9.1320105376,22.996401759,1414.2764908,7144.0732055,30.275473854,662.32153894,debt_consolidation,2,12,24,White,Male,1,0,1,1,5,1,5,1,3,2
0.0903778426,802.74862272,12.536810152,12.857054899,2399.8019848,16392.134427,34.096204959,671.62056812,major_purchase,0,5,58,Hispanic,Female,0,1,1,1,3,1,5,5,4,2
0.0644583313,438.0428896,10.432111077,28.016334387,6487.8160412,23887.383299,4.2551174432,627.20080037,all_other,4,5,88,White,Female,0,0,1,5,5,1,5,1,5,1
0.0832299116,174.03485133,10.627904913,16.91773934,4754.3765921,2619.1811919,100,722.40278939,credit_card,2,11,43,Hispanic,Female,0,1,1,4,4,4,5,2,2,5
0.1568838152,320.61047712,9.1887924427,14.831228247,6246.8386749,0,100,735.3981457,all_other,3,2,32,White,Male,1,2,1,4,4,4,4,1,1,5
0.0836523314,50,10.256134651,24.684748454,507.46078745,56893.58932,21.787906123,783.57638098,small_business,3,8,52,Asian,Male,1,0,1,1,5,5,5,1,5,2
0.1565416812,639.52292917,10.952137171,24.320917571,4321.0123501,22372.992493,58.683465862,698.49154731,all_other,1,8,53,Asian,Male,1,0,1,3,5,2,5,3,5,4
0.1176129744,290.2445661,11.94061996,8.3959669062,998.73765325,72266.644681,96.602816227,727.79920859,all_other,2,15,59,Hispanic,Female,0,0,1,1,2,4,5,5,5,5
0.095802169,93.309880131,9.6592217958,18.768723871,3495.3595945,12538.644721,41.846585283,744.42855319,credit_card,0,3,18,Asian,Male,1,2,1,2,5,5,5,1,4,3
0.0852859968,398.19089091,10.263494494,15.820489534,6166.0485536,17409.077453,90.233988886,619.45019194,home_improvement,2,0,35,Hispanic,Male,1,0,1,4,4,1,2,1,4,5
0.170961723,871.21751244,10.962779127,21.127277195,0,62085.127919,34.821257893,751.03645025,small_business,3,11,52,White,Male,1,2,1,1,5,5,5,3,5,2
0.1060864845,457.51016735,11.039884954,20.986819016,6368.5989715,0,11.386158209,700.21036831,small_business,0,10,53,Hispanic,Male,1,0,1,5,5,3,5,3,1,1
0.184023137,142.05967313,11.515404217,19.148380236,526.07246086,32841.371061,100,662.11866885,major_purchase,0,11,28,Asian,Male,0,1,1,1,5,1,5,5,5,5
0.0954581636,275.27481144,11.073278003,12.111520459,4113.6355462,32337.715212,31.364816154,714.76022519,home_improvement,3,3,11,Black,Male,1,2,1,3,3,3,5,4,5,2
0.1193785887,67.219759586,10.039796939,21.534030165,3344.1302242,1966.1543739,0,657.49833002,educational,0,13,45,Asian,Male,0,2,1,2,5,1,5,1,1,1
0.1039581277,687.41940836,10.432308057,18.603896456,4282.5019541,4182.5560228,78.176833354,711.61411229,debt_consolidation,4,1,100,Hispanic,Male,1,1,1,3,5,3,4,1,2,5
0.0718412573,58.577543879,10.442804772,20.264278429,5078.9573059,6337.0479117,100,648.9224328,all_other,3,3,16,Indigenous,Male,0,0,1,4,5,1,5,1,3,5
0.1138068323,30.464441985,10.772176984,11.866422009,3774.4872927,7140.784073,100,654.36391456,credit_card,4,0,96,Asian,Male,0,1,1,3,3,1,2,2,3,5
0.0914967109,237.6476887,10.026406641,24.942419581,3918.4845298,16342.479186,0,699.5125197,major_purchase,4,0,100,Asian,Male,1,0,1,3,5,3,2,1,4,1
0.0831148538,1098.5859871,10.572546643,30.188227651,4329.8355241,23224.582681,100,795.50545073,home_improvement,2,6,47,Asian,Male,1,0,1,3,5,5,5,2,5,5
0.141965152,50,12.463328066,14.821903547,4666.6749488,0,99.434864967,651.72533001,debt_consolidation,0,3,22,White,Male,1,1,1,3,4,1,5,5,1,5
0.1128336387,227.92562829,9.6195016685,17.350170399,4823.2074872,7443.1322045,32.71711531,708.17643246,major_purchase,1,0,25,White,Male,0,1,1,4,4,3,2,1,3,2
0.186108819,9.9437802674,11.691949779,0,9415.1667576,0,72.779300967,676.70481173,educational,1,15,28,Asian,Male,1,1,1,5,1,1,5,5,1,5
0.0654816173,50,10.183126564,18.825664382,6544.1700744,14823.405408,25.530174263,702.67310338,educational,1,0,46,Hispanic,Male,1,2,1,5,5,3,2,1,4,2
0.0844826226,256.11422098,10.804572246,13.6161362,3975.484036,32254.642236,74.585074024,727.37149599,home_improvement,0,9,66,Black,Male,1,2,1,3,3,4,5,3,5,5
0.1480474063,93.890480707,10.263552525,23.021878529,9907.6833658,4392.2516863,100,673.37871609,debt_consolidation,1,15,48,Indigenous,Male,1,1,1,5,5,1,5,1,2,5
0.1580321561,336.64349586,10.945659139,18.093663873,7130.7893961,5990.2815794,66.607792962,640.35767976,debt_consolidation,1,10,45,Hispanic,Female,1,0,1,5,5,1,5,3,2,4
0.1332827243,278.70815728,10.623951172,31.402479204,1420.7741156,9260.2194213,72.967849264,681.26714562,educational,1,15,23,Asian,Female,1,0,1,1,5,1,5,2,3,5
0.1329884351,251.07200702,11.671516916,6.6992704259,2915.7715567,58690.373226,100,751.77133527,educational,0,4,54,White,Male,1,0,1,2,1,5,5,5,5,5
0.1552303449,973.517839,10.487311017,24.77832886,11405.164112,18192.27169,66.082102355,719.05655813,educational,2,13,4,Black,Male,1,0,1,5,5,4,5,1,4,4
0.09946344,571.75448314,11.720468689,18.267427159,0,5893.3211088,100,653.05129765,all_other,2,2,31,Hispanic,Female,1,0,1,1,5,1,4,5,2,5
0.0798602891,5.695627322,11.217855927,17.522143166,4006.9596415,31244.197838,0,718.00420641,debt_consolidation,4,8,35,Hispanic,Female,0,2,1,3,4,4,5,4,5,1
0.0991972283,140.4857387,11.217030445,15.80774945,8845.2797465,10889.009945,53.290284752,658.07409462,all_other,0,3,94,Hispanic,Male,0,0,1,5,4,1,5,4,3,3
0.1662842478,1131.3602635,11.460757866,27.895318632,6620.5000996,3826.0861114,74.3664544,706.0468393,debt_consolidation,1,7,18,Hispanic,Male,1,1,1,5,5,3,5,5,2,5
0.1151072294,657.19842302,9.6341142368,20.813150048,6887.6389952,0,90.078263391,696.96878479,small_business,3,1,56,White,Male,1,0,1,5,5,2,4,1,1,5
0.1530916026,394.97121468,12.615331162,15.422374931,4844.9765468,4106.1092914,69.427789131,693.02728824,educational,2,8,88,Asian,Male,0,2,1,4,4,2,5,5,2,4
0.149560713,1024.4609542,10.510296793,14.844377073,4524.9044369,8234.9586236,91.571232795,657.59223689,home_improvement,0,9,46,Hispanic,Female,0,0,1,3,4,1,5,2,3,5
0.0880154362,301.33509888,10.364033532,23.969667909,489.63901067,22479.096178,0,714.1319303,small_business,3,9,72,Black,Male,0,0,1,1,5,3,5,1,5,1
0.0685581207,50,10.329327312,0,2540.9870893,396.34343091,4.887182545,696.57703287,major_purchase,0,0,22,Black,Female,1,2,1,2,1,2,2,1,1,1
0.1987578102,560.44783158,10.485468788,18.023791933,4463.8141008,1811.66215,2.4013195364,670.02802005,major_purchase,1,7,55,Asian,Male,1,1,1,3,5,1,5,1,1,1
0.204833539,182.10039618,10.267453553,26.14556362,8530.1628749,72796.375716,84.129736528,714.03628459,educational,4,5,5,Black,Male,1,0,1,5,5,3,5,1,5,5
0.1152824292,96.083230593,10.944146321,18.984780401,593.45080106,48431.605473,72.548688944,694.85585057,all_other,0,3,57,Black,Female,1,0,1,1,5,2,5,3,5,5
0.2186378893,110.17748894,11.214584882,14.105334608,5803.0123533,23181.503681,49.420738742,676.10281206,educational,4,3,59,Black,Female,0,1,1,4,3,1,5,4,5,3
0.1291801188,172.39947916,11.816002597,4.684771874,6663.6561758,10562.361958,100,660.59744007,small_business,3,6,13,Hispanic,Male,1,2,1,5,1,1,5,5,3,5
0.1550133884,127.01777318,10.482797406,22.874583487,6272.8962555,0,100,684.21897568,all_other,4,0,99,Asian,Male,1,2,1,5,5,2,2,1,1,5
0.1407859452,472.89234924,10.282087675,26.079772667,2171.8961177,0,70.563686589,642.64144056,major_purchase,2,0,95,Hispanic,Male,0,0,1,1,5,1,2,1,1,4
0.1416266059,97.625423084,10.584314939,22.045569798,4508.483106,10318.784953,19.927015543,670.72904458,major_purchase,4,0,13,White,Female,1,1,1,3,5,1,2,2,3,1
0.2069231231,272.62390612,11.226837494,26.414637445,6929.9979204,27959.355039,82.30190615,730.6648878,all_other,2,14,100,Hispanic,Male,1,0,1,5,5,4,5,4,5,5
0.1275572231,382.58469021,11.773873934,20.511862618,3545.2837113,35809.524281,100,758.21364797,debt_consolidation,2,11,100,Black,Female,1,2,1,2,5,5,5,5,5,5
0.0933481205,127.5770377,11.318540518,18.331416827,310.85310468,30923.281474,26.43762594,643.57908624,all_other,0,2,26,White,Female,0,0,1,1,5,1,4,4,5,2
0.1669958495,50,11.004274145,19.766443662,5109.0961537,47768.055679,100,696.41707097,all_other,1,0,30,Indigenous,Female,1,0,1,4,5,2,2,3,5,5
0.1680306953,337.28397378,10.767953864,6.6695964861,2672.5821276,0,45.53703685,654.73762731,major_purchase,2,4,67,Asian,Male,1,1,1,2,1,1,5,2,1,3
0.0718038149,794.49540203,10.400953418,16.122735815,6558.2898388,135662.18601,20.687270045,672.55502097,credit_card,4,15,60,Black,Male,1,2,1,5,4,1,5,1,5,1
0.129623294,315.53951019,10.478999743,6.2021377395,4755.7145467,2618.8453361,17.979434134,743.47290797,all_other,1,0,80,Hispanic,Male,1,1,1,4,1,5,2,1,2,1
0.0902745707,217.84404325,12.2921577,19.132674742,6463.2647943,16748.253618,26.974220643,701.68766562,educational,1,14,70,White,Female,1,2,1,5,5,3,5,5,4,2
0.0890906334,661.21202586,10.289856385,25.97814203,11913.539164,15153.633586,30.830811263,690.15187759,all_other,0,2,93,Black,Female,1,0,1,5,5,2,4,1,4,2
0.0942164141,48.851753184,11.019121233,24.493247261,15494.99549,136025.53796,48.450354126,617.72855992,debt_consolidation,0,9,78,White,Male,0,0,1,5,5,1,5,3,5,3
0.090043045,477.08068911,12.67646874,15.620175953,735.19165575,0,100,685.86858682,major_purchase,0,1,0,White,Male,0,1,1,1,4,2,4,5,1,5
0.0903700066,64.719073246,10.493430245,21.128240553,5422.8577732,50409.61108,24.30767102,823.64651081,all_other,3,8,2,Hispanic,Female,1,2,1,4,5,5,5,1,5,2
0.1481107009,10.409546826,10.854482263,4.4053723106,3767.684713,77849.492035,0,740.85560823,all_other,1,0,83,Hispanic,Female,1,1,1,3,1,5,2,3,5,1
0.0530199077,50,9.7363221846,17.750078938,1639.1245106,0,100,660.20311898,all_other,2,0,62,White,Female,0,1,1,1,4,1,2,1,1,5
0.0833766764,361.02181716,10.443313504,0,7925.7635237,0,59.85567411,667.33495276,home_improvement,0,2,98,Asian,Male,1,0,1,5,1,1,4,1,1,4
