CustomerID,Age,Race,Gender
Cust_84348,18,White,Female
Cust_1457,55,White,Male
Cust_98208,31,White,Male
Cust_59509,36,White,Female
Cust_53356,74,Hispanic,Male
Cust_82494,50,Hispanic,Female
Cust_37057,39,White,Male
Cust_19169,61,White,Male
Cust_52066,36,Hispanic,Male
Cust_87958,22,White,Female
Cust_48275,27,Asian,Female
Cust_40739,21,Black,Male
Cust_50923,40,Hispanic,Female
Cust_20542,39,White,Male
Cust_46246,32,Hispanic,Female
Cust_59491,23,White,Male
Cust_8171,30,White,Female
Cust_94977,28,Hispanic,Female
Cust_40307,51,Asian,Female
Cust_1229,85,White,Male
Cust_34759,18,White,Male
Cust_69782,46,White,Male
Cust_74517,31,White,Male
Cust_7687,64,Asian,Male
Cust_66193,22,Hispanic,Female
Cust_23262,71,Asian,Male
Cust_43599,74,Asian,Male
Cust_38673,74,White,Female
Cust_7816,66,Black,Male
Cust_53809,52,White,Male
Cust_20468,25,White,Female
Cust_4008,64,Black,Male
Cust_84217,22,White,Female
Cust_68125,34,White,Male
Cust_84362,59,Black,Male
Cust_42272,47,White,Male
Cust_6011,28,Hispanic,Female
Cust_6213,56,White,Male
Cust_51282,41,Asian,Male
Cust_12070,23,White,Male
Cust_78283,72,White,Male
Cust_66037,25,White,Male
Cust_26913,56,White,Female
Cust_43767,31,Black,Female
Cust_90537,36,White,Male
Cust_63082,60,Hispanic,Male
Cust_20192,58,Black,Female
Cust_7232,29,Hispanic,Female
Cust_59349,68,White,Male
Cust_6347,40,White,Female
Cust_4697,39,Hispanic,Female
Cust_99049,25,White,Female
Cust_5606,32,White,Female
Cust_28841,22,Hispanic,Male
Cust_98143,33,White,Male
Cust_24608,20,Hispanic,Female
Cust_76633,49,Black,Male
Cust_44283,47,White,Male
Cust_30464,41,Black,Female
Cust_19389,25,White,Male
Cust_90071,63,Hispanic,Female
Cust_57318,59,Hispanic,Male
Cust_3982,62,White,Male
Cust_54167,31,Hispanic,Female
Cust_73508,58,White,Male
Cust_38298,42,Asian,Female
Cust_87885,38,White,Male
Cust_89741,20,White,Female
Cust_25226,55,Hispanic,Female
Cust_44384,28,White,Female
Cust_88365,46,Black,Female
Cust_69844,20,White,Male
Cust_56185,43,Hispanic,Female
Cust_9330,63,Asian,Female
Cust_64512,22,Black,Female
Cust_70881,75,Asian,Female
Cust_82503,45,White,Male
Cust_78432,18,White,Male
Cust_41987,60,White,Male
Cust_95893,32,White,Female
Cust_17911,21,Hispanic,Male
Cust_32763,50,White,Male
Cust_2379,22,White,Female
Cust_46692,45,White,Male
Cust_88367,46,White,Male
Cust_44962,46,Black,Female
Cust_76018,18,White,Female
Cust_78439,28,White,Female
Cust_26492,30,White,Female
Cust_46154,22,Hispanic,Male
Cust_99104,35,White,Male
Cust_57531,24,White,Male
Cust_59714,61,Black,Male
Cust_84270,35,White,Male
Cust_96572,33,White,Female
Cust_80541,43,White,Female
Cust_71693,58,White,Female
Cust_72677,72,White,Male
Cust_526,78,White,Male
Cust_56012,39,White,Male
Cust_32596,39,White,Male
Cust_38886,28,White,Male
Cust_56073,34,Hispanic,Female
Cust_98001,72,White,Female
Cust_39548,39,White,Male
Cust_55950,63,White,Female
Cust_33586,53,White,Male
Cust_89085,40,Hispanic,Male
Cust_29518,18,White,Female
Cust_67540,25,White,Female
Cust_74947,28,White,Female
